simulation,period,total_sn,total_cost,layer_materials,layer_thicknesses,layer_sns,startover
0,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
1,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
2,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
3,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
4,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
5,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
6,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
7,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
8,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
9,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[np.float64(1.5), np.float64(3.0), np.float64(5.0), np.float64(19.0)]","[np.float64(0.44), np.float64(0.44), np.float64(0.13), np.float64(0.1)]",False
